Date,Date,Open,High,Low,Close,Adj Close,Volume,SMA_7,SMA_14,SMA_30,EMA_7,EMA_14,EMA_30,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,DMP_14,DMN_14,STOCHk_14_3_3,STOCHd_14_3_3,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0
2012-07-20,2012-07-20,2987.5,2995.5,2975.5,2985.5,2003.2921142578125,3349186,2958.285714285714,2940.964285714286,2838.9,2964.7823650238074,2929.297023373801,2836.7400808427747,75.76663158719177,81.45142657471342,-5.0073099232981235,86.45873649801155,54.55877206177653,35.29782829046581,9.240807798920294,94.88281570957123,96.30434025439199,2883.0561512181735,2940.964285714286,2998.872420210398,3.9380372469941713,0.8845376359749954
2012-07-23,2012-07-23,2980.0,2994.5,2938.0,2947.5,1977.7938232421875,3296761,2964.285714285714,2942.0714285714284,2848.3166666666666,2960.4617737678554,2931.724086923961,2843.8858820787245,66.17450890847833,76.07010986708974,-8.310901304737442,84.38101117182718,52.639326343195805,31.427570209769026,15.70631122746703,79.69715989840287,91.06428284585786,2884.2986505738677,2942.0714285714284,2999.844206568989,3.9273538661577145,0.5469820875568833
2012-07-24,2012-07-24,2955.0,2976.0,2923.5,2932.0,1967.3929443359373,3281945,2963.6428571428573,2942.4285714285716,2857.266666666667,2953.3463303258914,2931.760875334099,2849.570663880097,62.68828012291502,69.75061546804454,-11.704316563026111,81.45493203107065,50.19220481932972,28.29830831212425,16.946555499298317,59.77650641752447,78.11882734183283,2884.9719329424697,2942.4285714285716,2999.8852099146734,3.9053888372356447,0.409248333148709
2012-07-25,2012-07-25,2937.5,2950.0,2897.0,2909.0,1951.9600830078125,4467170,2959.214285714286,2940.5714285714284,2864.7166666666667,2942.2597477444187,2928.726091956219,2853.4048145975103,57.820532372379866,62.169807999071054,-15.42809922559968,77.59790722467073,46.81323835794979,25.528712507516175,20.266824877599873,38.118821101952214,59.19749580595982,2880.6466457863485,2940.5714285714284,3000.4962113565084,4.07572366396774,0.23657452639703958
2012-07-26,2012-07-26,2879.5,2930.5,2845.5,2913.5,1954.9796142578125,5854955,2953.5,2940.8928571428573,2871.85,2935.0698108083143,2926.6959463620565,2857.2819233331547,58.49952358421682,55.8809154464675,-17.373593422562593,73.25450886903009,43.57860515579642,21.889995305742403,26.313056466936033,34.76379041192059,44.219705977132385,2881.604001804428,2940.8928571428573,3000.1817124812865,4.032030965999188,0.26898814299504475
2012-07-27,2012-07-27,2889.0,2954.0,2889.0,2951.5,1980.47802734375,3033905,2948.785714285714,2943.1785714285716,2881.6833333333334,2939.1773581062357,2930.0031535137823,2863.3605089245643,63.79906843474391,53.34823990871291,-15.925015168253736,69.27325507696665,39.892152893892835,23.483835948548048,23.51272017839504,43.85641841509198,38.913009976321554,2884.9062953166467,2943.1785714285716,3001.4508475404964,3.959819270064909,0.5714012659763392
2012-07-30,2012-07-30,2947.5,3005.0,2940.5,2994.5,2009.3311767578125,3122644,2947.6428571428573,2948.8571428571427,2892.0666666666666,2953.008018579677,2938.602733045278,2871.821121252012,68.67391697233678,54.18619223772339,-12.069650271394607,66.255842509118,37.91767631075634,29.31008299832461,21.10519972412399,68.08165112579785,48.9006199842701,2887.275108636264,2948.8571428571427,3010.439177078021,4.176671248388236,0.8705858187401575
2012-07-31,2012-07-31,2994.0,3009.5,2986.5,2986.5,2003.963134765625,3411078,2947.785714285714,2953.035714285714,2899.616666666667,2961.381013934758,2944.9890353059077,2879.219758590592,66.86974770930462,53.587024492785986,-10.13505441306561,63.722078905851596,36.23567499855896,28.876092466420232,20.252283862328557,82.30282040755435,64.74696331614803,2889.7659242866257,2953.035714285714,3016.3055042848027,4.2850677147595775,0.7644570632743358
2012-08-01,2012-08-01,2989.0,3035.0,2965.0,3035.0,2036.5068359375,3079671,2960.285714285714,2962.285714285714,2908.5666666666666,2979.785760451068,2956.99049726512,2889.270096746038,71.7203524613752,56.37585860153558,-5.876976243452809,62.25283484498839,35.28393850704273,29.776127222924135,18.02465095940904,93.13084588526135,81.17177247287115,2892.0384832414447,2962.285714285714,3032.5329453299837,4.742772157695663,1.0175598001041604
2012-08-02,2012-08-02,3020.0,3067.0,3020.0,3029.0,2032.4810791015625,4139720,2974.1428571428573,2968.8928571428573,2916.95,2992.089320338301,2966.5917642964373,2898.2849292140354,70.34815053646997,57.43975018415631,-3.850467728665663,61.29021791282197,35.048929090913056,32.64384484540586,16.675522051478005,89.6066178494742,88.34676138076327,2892.4615821573625,2968.8928571428573,3045.324132128352,5.148806552692455,0.893210389781865
